Num,Date,Time,Tweet
1,11/6/2011,22:50,"""I fuckked up my own suicide"" yeah tell me about it…"
2,11/7/2011,6:44,Staying home today. Can I reach 1000 tweets??? I'm thinking yes
3,11/7/2011,9:45,just woke up
4,11/7/2011,9:45,Don't feel too well
5,11/7/2011,9:45,There is somebody in my dreams
6,11/7/2011,9:46,I want them gone
7,11/7/2011,9:46,How can we control our dreams?
8,11/7/2011,9:46,Hummm wish sombody would textMe
9,11/7/2011,9:47,Kinda lonely right now
10,11/7/2011,9:47,There was so much more I wanted to do
11,11/7/2011,9:48,Ahhh well time to move on
12,11/7/2011,9:48,My thought process is too crazy
13,11/7/2011,9:48,I totally think I’m bipolar
14,11/7/2011,9:48,Or just crazy
15,11/7/2011,9:49,Idk.
16,11/7/2011,9:49,Humm I remember why we broke up
17,11/7/2011,9:50,I shall do it again
18,11/7/2011,9:50,Because this time I don't have a bf
19,11/7/2011,9:50,And I really don't care anymore
20,11/7/2011,9:51,I should get ready then
21,11/7/2011,9:51,Should have gotten everything last night
22,11/7/2011,9:52,Still just trying to raise my numbers
23,11/7/2011,9:52,So I met this boy
24,11/7/2011,9:52,He was very cute you see
25,11/7/2011,9:52,Quite popular too
26,11/7/2011,9:53,Me and this boy started talking
27,11/7/2011,9:53,Then we talked a lil more
28,11/7/2011,9:53,Then he let me in his front door
29,11/7/2011,9:54,We walked up the stairs where everything was quite
30,11/7/2011,9:54,And he whispered 'you look beautiful' into my ear
31,11/7/2011,9:55,Shivers moved down my spine
32,11/7/2011,9:55,And then he began to kiss my neck
33,11/7/2011,9:56,I know you're thinking 'why did she Go'
34,11/7/2011,9:57,And all I can say is my father told me so
35,11/7/2011,9:57,So he kissed me sweet and laid me down on his bed
36,11/7/2011,9:58,I started to shake he said 'give me head'
37,11/7/2011,9:58,I laughed at him and said 'I'm a vegetarian'
38,11/7/2011,9:59,Then I wondered why I had really come to him.
39,11/7/2011,9:59,See I've been in this situation before
40,11/7/2011,10:00,When a boy I loved said he would leave if I didn't give it up
41,11/7/2011,10:00,And I told my friends I had done it even though it wasn't true
42,11/7/2011,10:01,Because he was telling everybody the same things too
43,11/7/2011,10:01,But here is the honest truth
44,11/7/2011,10:01,I never did it till I was sixteen
45,11/7/2011,10:02,I did not know the boy
46,11/7/2011,10:02,And I never got to know him
47,11/7/2011,10:02,He was older stronger and high at the time
48,11/7/2011,10:03,He probably will never admit I was a crime
49,11/7/2011,10:03,His breath smelt sour like smoke and his kisses became rough
50,11/7/2011,10:04,Then I tried to sit up and say 'I've had enough'
51,11/7/2011,10:04,My attempt of getting free were feeble
52,11/7/2011,10:05,I decided to scream 'please stop'
53,11/7/2011,10:05,but he just took a pillow to my face and put me in the dark
54,11/7/2011,10:06,First to go were my shoes. I feel my feet go cold
55,11/7/2011,10:06,"Next my pants, he was so bold."
56,11/7/2011,10:07,It hurt so much as he entered me
57,11/7/2011,10:07,Guys I'm telling you my first time was taken from me
58,11/7/2011,10:08,He noticed and said 'are you a virgin?'
59,11/7/2011,10:08,I nodded through tears as he kept barging in
60,11/7/2011,10:09,He finished and was done with me
61,11/7/2011,10:09,I lay on his bed lifeless
62,11/7/2011,10:10,He let me stay there and sleep
63,11/7/2011,10:10,Then he offered me some weed
64,11/7/2011,10:10,I said 'no thank you I don't do that either'
65,11/7/2011,10:11,He said 'girl you're no fun. See you later'
66,11/7/2011,10:12,I started to get dressed and he came back in
67,11/7/2011,10:12,He came close; i tried to get away from him
68,11/7/2011,10:12,He told me 'dont be scared' 
69,11/7/2011,10:13,and like an idiot I believed him
70,11/7/2011,10:13,He asked if I liked it
71,11/7/2011,10:14,I shrugged my shoulders
72,11/7/2011,10:14,"He leaned in for a kiss, and I let him"
73,11/7/2011,10:15,He laid me down and rubbed my back
74,11/7/2011,10:15,I cried in his pillow. He cried back
75,11/7/2011,10:15,He said he was sorry
76,11/7/2011,10:16,I said 'it's okay'
77,11/7/2011,10:16,we laid there together just bathing in our fears
78,11/7/2011,10:17,I don't know why. I saw the human in him.
79,11/7/2011,10:17,He was probably just as broken as me
80,11/7/2011,10:17,He drove me to my park
81,11/7/2011,10:18,I got on the swirly slide. I just laid there and cried
82,11/7/2011,10:19,I finally walked home
83,11/7/2011,10:19,My father opened the door
84,11/7/2011,10:19,Asked me 'how was it'
85,11/7/2011,10:20,I said 'i'll never forget it…'
86,11/7/2011,10:20,as he pressed for questions. I grew impatient
87,11/7/2011,10:20,Said 'dad in so tired can I just go to bed'
88,11/7/2011,10:21,he dismissed me and I trudged up the stairs.
89,11/7/2011,10:21,My legs hurt. And my heart was filled with despair
90,11/7/2011,10:21,I went to the bathroom and locked the door
91,11/7/2011,10:22,I took apart a razor I had just gotten from the store
